 ,JP Morgan,Bank Of America,WellsFargo,CitiGroup,Morgan Stanley,Goldman Sachs,US Bank,American Express,Charles Schwab,PNC Bank,BNY Mellon,Capital One,BB&T Corp,State Street,Suntrust Bank,Discover Financials,M&T Bank,northern trust,Fifth Third Bank,Key Corp Bank,Citizen,Regions,Huntington Bancshares,Comerica Inc
technology,1249,900,185,75,440,137,276,170,364,975,247,2251,107,241,306,234,136,55,2,17,98,58,62,28
analytics,6,26,0,0,0,0,11,0,0,0,33,0,4,6,0,12,1,0,0,0,1,0,0,0
data science,155,444,54,28,141,56,53,11,150,18,119,5,88,97,60,123,65,10,3,6,5,9,24,7
cyber security,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
